"study";"a1";"a2";"a3";"a4";"a5";"a6";"a7";"yop";"n1";"n2";"n";"g";"type";"design";"setting";"perpetrator";"dv";"id";"nnew";"effest.exp";"effestnew.exp";"ncnew";"ntnew";"d.o";"d.c";"vd.o";"vd.c";"vg.o";"vg.c"
"Howard & Crano";"Howard";"Crano";"";"";"";NA;NA;1974;18;18;36;0.244;"field";"qexp";"villain act";"yes";"helping rate";13;36;-0.244;-0.244;18;18;-0.249545454545455;-0.249545454545455;0.111110814506327;0.111110814506327;0.106227425621851;0.106227425621851
"Hurley & Allen";"Hurley";"Allen";"";"";"";NA;NA;1974;500;2000;2500;-0.442;"field";"qexp";"non emerg";"no";"helping rate";13;2500;0.442;0.442;500;2000;0.442132759311173;0.442132759311173;0.00159999999995997;0.00159999999995997;0.00159903927944124;0.00159903927944124
"Kalafat et al.";"Kalafat";"Elias";"Gara";"";"";NA;NA;1993;79;75;154;-0.677;"lab";"exp";"non emerg";"no";"helping rate";13;154;0.677;0.677;79;75;0.680362582781457;0.680362582781457;0.0259740193900561;0.0259740193900561;0.0257179090126522;0.0257179090126522
"Kalafat et al.";"Kalafat";"Elias";"Gara";"";"";NA;NA;1993;81;79;160;-1.111;"lab";"exp";"non emerg";"no";"helping rate";13;160;1.111;1.111338445;81;79;1.11630732484076;1.11664738661624;0.0249999847883144;0.0249999847883144;0.02476283212257;0.02476283212257
"Karakashian et al.";"Karakashian";"Walter";"Christopher";"Lucas";"";NA;NA;2006;41.5;41.5;83;-0.775;"lab";"exp";"non emerg";"no";"helping rate";13;83;0.775;-0.573967382;41.5;41.5;0.782265625;-0.57934832620625;0.0481926679305493;0.0481926679305493;0.0473016054604975;0.0473016054604975
"Konecni & Ebbesen";"Konecni";"Ebbesen";"";"";"";NA;NA;1975;14;29;43;0.094;"field";"qexp";"emerg";"no";"combined";13;43;-0.094;-0.094;14;29;-0.0957625;-0.0957625;0.0930232343550753;0.0930232343550753;0.0896305769690213;0.0896305769690213
"Konecni & Ebbesen";"Konecni";"Ebbesen";"";"";"";NA;NA;1975;19;29;48;-0.428;"field";"qexp";"emerg";"no";"combined";13;48;0.428;0.428;19;29;0.435133333333333;0.435133333333333;0.0833330479896535;0.0833330479896535;0.0806232122447602;0.0806232122447602
"Latane & Darley";"Latane";"Darley";"";"";"";NA;NA;1968;12;8;20;-0.839;"lab";"exp";"bystander danger";"no";"helping rate";13;20;0.839;0.83860165;12;8;0.876014705882353;0.875598781617647;0.19996163727166;0.19996163727166;0.1834204742599;0.1834204742599
"Latane & Darley";"Latane";"Darley";"";"";"";NA;NA;1968;12;10;22;-1.748;"lab";"exp";"bystander danger";"no";"helping rate";13;22;1.748;1.748;12;10;1.817;1.817;0.181705503621066;0.181705503621066;0.168167118877628;0.168167118877628
"Latané & Rodin";"Latane";"Rodin";"";"";"";NA;NA;1969;9;14;23;-1.825;"lab";"exp";"emerg";"no";"helping rate";13;23;1.825;1.825;9;14;1.8934375;1.8934375;0.173810614054418;0.173810614054418;0.161473062846317;0.161473062846317
"Latané & Rodin";"Latane";"Rodin";"";"";"";NA;NA;1969;8;20;28;-0.671;"lab";"exp";"emerg";"no";"helping rate";13;28;0.671;0.671;8;20;0.69113;0.69113;0.142850926178016;0.142850926178016;0.134650698631366;0.134650698631366
"Latané & Rodin";"Latane";"Rodin";"";"";"";NA;NA;1969;9;20;29;0;"lab";"exp";"emerg";"no";"helping rate";13;29;0;0;9;20;0;0;0.137931034482759;0.137931034482759;0.130305010827628;0.130305010827628
"Lewis et al.";"Lewis";"Thompson";"Wuensch";"Grossnickle";"Cope";NA;NA;2004;49;134;183;0.89;"field";"exp";"non emerg";"no";"combined";13;183;-0.89;-0.580654168;49;134;-0.893708333333333;-0.583073560366667;0.0218579177998623;0.0218579177998623;0.02167690062623;0.02167690062623
"Lewis et al.";"Lewis";"Thompson";"Wuensch";"Grossnickle";"Cope";NA;NA;2004;48;153;201;0.136;"field";"exp";"non emerg";"no";"combined";13;201;-0.136;-0.136;48;153;-0.136515151515152;-0.136515151515152;0.0199004974210965;0.0199004974210965;0.0197505883696794;0.0197505883696794
"Lewis et al.";"Lewis";"Thompson";"Wuensch";"Grossnickle";"Cope";NA;NA;2004;48;158;206;-0.007;"field";"exp";"non emerg";"no";"combined";13;206;0.007;0.007;48;158;0.00702586206896552;0.00702586206896552;0.019417475727936;0.019417475727936;0.019274788085905;0.019274788085905
"Pantin & Carver";"Pantin";"Carver";"";"";"";NA;NA;1982;20;24;44;-0.861;"lab";"exp";"emerg";"no";"latency";13;44;0.861;0.861;20;24;0.87675;0.87675;0.0909074502324602;0.0909074502324602;0.0876706508462924;0.0876706508462924
"Pantin & Carver";"Pantin";"Carver";"";"";"";NA;NA;1982;30;24;54;0.445;"lab";"exp";"emerg";"no";"latency";13;54;-0.445;-0.445;30;24;-0.451544117647059;-0.451544117647059;0.0740738822451014;0.0740738822451014;0.0719423716658998;0.0719423716658998
"Peterson";"Peterson";"";"";"";"";NA;NA;1983;50;51;101;-0.67;"lab";"exp";"emerg";"no";"helping rate";13;101;0.67;0.67;50;51;0.675127551020408;0.675127551020408;0.0396039253550978;0.0396039253550978;0.0390046312178545;0.0390046312178545
"Ross";"Ross";"";"";"";"";NA;NA;1971;6;12;18;-1.668;"lab";"exp";"bystander danger";"no";"helping rate";13;18;1.668;1.668;6;12;1.7514;1.7514;0.221988707614255;0.221988707614255;0.201350301690934;0.201350301690934
