"study";"a1";"a2";"a3";"a4";"a5";"a6";"a7";"yop";"n";"r";"design";"task";"time";"id";"nnew";"effest.exp";"effestnew.exp";"vr.o";"vr.c";"z.o";"vz.o";"z.c";"vz.c"
"Robinson (2001)";"Robinson";"";"";"";"";NA;NA;2001;40;0.33;"between";"nonvisual";"no";14;40;0.33;0.33;0.0203604925641026;0.0203604925641026;0.342828254415394;0.027027027027027;0.342828254415394;0.027027027027027
"Rossomondo (2007)";"Rossomondo";"";"";"";"";NA;NA;2007;83;-0.12;"between";"nonvisual";"yes";14;83;-0.12;-0.12;0.0118464312195122;0.0118464312195122;-0.120581028408444;0.0125;-0.120581028408444;0.0125
"Rossomondo (2007)";"Rossomondo";"";"";"";"";NA;NA;2007;78;0.07;"between";"nonvisual";"yes";14;78;0.07;0.07;0.0128600520779221;0.0128600520779221;0.0701146706543252;0.0133333333333333;0.0701146706543252;0.0133333333333333
"Sachs & Polio (2007)";"Sachs";"Polio";"";"";"";NA;NA;2007;15;-0.51;"within";"nonvisual";"yes";14;15;-0.51;-0.535686391;0.039103715;0.0363161550468952;-0.562729769352149;0.0833333333333333;-0.598086257474384;0.0833333333333333
"Sachs & Polio (2007)";"Sachs";"Polio";"";"";"";NA;NA;2007;27;-0.06;"between";"nonvisual";"yes";14;27;-0.06;-0.06;0.0381851138461538;0.0381851138461538;-0.0600721559210317;0.0416666666666667;-0.0600721559210317;0.0416666666666667
"Sanz et al. (2009)";"Sanz";"Link";"Lado";"Bowden";"Stafford";NA;NA;2009;24;0.03;"between";"nonvisual";"no";14;24;0.03;0.03;0.0434000352173913;0.0434000352173913;0.0300090048631265;0.0476190476190476;0.0300090048631265;0.0476190476190476
"Sanz et al. (2009)";"Sanz";"Link";"Lado";"Bowden";"Stafford";NA;NA;2009;24;0.41;"between";"nonvisual";"no";14;24;0.41;0.40861776;0.0300894613043478;0.0301713705940897;0.435611223236224;0.0476190476190476;0.433950806982075;0.0476190476190476
"Schooler et al. (1993)";"Schooler";"Ohlsson";"Brooks";"";"";NA;NA;1993;80;-0.38;"between";"visual";"yes";14;80;-0.38;-0.367378285;0.00926647291139241;0.00947192948963353;-0.400059650056057;0.012987012987013;-0.385388943989683;0.012987012987013
"Schweiger (1983)";"Schweiger";"";"";"";"";NA;NA;1983;40;0.05;"between";"nonvisual";"no";14;40;0.05;0.004870596;0.0255129807692308;0.0256398091064609;0.0500417292784913;0.027027027027027;0.00487063451511951;0.027027027027027
"Short, Evans, et al. (1991)";"Short";"Evans";"Friebert";"Schatschneider";"";NA;NA;1991;26;0.13;"between";"visual";"no";14;26;0.13;0.13;0.0386594244;0.0386594244;0.130739850028878;0.0434782608695652;0.130739850028878;0.0434782608695652
"Short, Evans, et al. (1991)";"Short";"Evans";"Friebert";"Schatschneider";"";NA;NA;1991;24;0.17;"between";"visual";"no";14;24;0.17;0.169088532;0.0410015308695652;0.0410276338289134;0.171666663500579;0.0476190476190476;0.170728219616218;0.0476190476190476
"Short, Evans, et al. (1991)";"Short";"Evans";"Friebert";"Schatschneider";"";NA;NA;1991;28;0.22;"between";"visual";"no";14;28;0.22;0.22;0.0335386133333333;0.0335386133333333;0.223656109021832;0.04;0.223656109021832;0.04
"Short, Evans, et al. (1991)";"Short";"Evans";"Friebert";"Schatschneider";"";NA;NA;1991;26;0.34;"between";"visual";"no";14;26;0.34;0.34;0.0312865344;0.0312865344;0.354092528962243;0.0434782608695652;0.354092528962243;0.0434782608695652
"Short, Evans, et al. (1991)";"Short";"Evans";"Friebert";"Schatschneider";"";NA;NA;1991;26;0.57;"between";"visual";"no";14;26;0.57;0.57;0.0182304004;0.0182304004;0.647522844827373;0.0434782608695652;0.647522844827373;0.0434782608695652
"Stinessen (1985)a";"Stinessen";"";"";"";"";NA;NA;1985;40;0.49;"between";"visual";"no";14;40;0.49;0.49;0.0148063592307692;0.0148063592307692;0.536060336610567;0.027027027027027;0.536060336610567;0.027027027027027
"Van den Haak et al. (2003)";"Van den Haak";"de Jong";"Schellens";"";"";NA;NA;2003;40;-0.33;"between";"nonvisual";"no";14;40;-0.33;-0.330350425;0.0203604925641026;0.0203499193997528;-0.342828254415394;0.027027027027027;-0.343221555391145;0.027027027027027
"Van den Haak et al. (2004)";"Van den Haak";"de Jong";"Schellens";"";"";NA;NA;2004;40;-0.06;"between";"nonvisual";"no";14;40;-0.06;-0.06;0.0254567425641026;0.0254567425641026;-0.0600721559210317;0.027027027027027;-0.0600721559210317;0.027027027027027
"Williams & Davids (1997)";"Williams";"Davis";"";"";"";NA;NA;1997;20;-0.13;"within";"visual";"no";14;20;-0.13;-0.130928267;0.0508676636842105;0.0508426017474809;-0.130739850028878;0.0588235294117647;-0.131684190618812;0.0588235294117647
"Williams & Davids (1997)";"Williams";"Davis";"";"";"";NA;NA;1997;24;0.07;"within";"visual";"no";14;24;0.07;0.07;0.043053217826087;0.043053217826087;0.0701146706543252;0.0476190476190476;0.0701146706543252;0.0476190476190476
"Wulfert et al. (1994)";"Wulfert";"Greenway";"Dougher";"";"";NA;NA;1994;13;-0.02;"between";"visual";"no";14;13;-0.02;-0.02;0.08326668;0.08326668;-0.0200026673068496;0.1;-0.0200026673068496;0.1
