study;a1;a2;a3;a4;a5;a6;a7;yop;n;r;z;zexp;nnew;znew;znewexp;vz;newvz
Webb-Msemaji;Webb;;;;;;;1996;112;0.12;0.120581028;0.120581028;112;0.120581028;0.120581028;0.009174312;
West;West;;;;;;;2004;86;0.07;0.070114671;0.070114671;86;0.070114671;0.070114671;0.012048193;
White & Burke;White;Burke;;;;;;1987;73;0.23;0.234189467;0.234189467;73;0.234189467;0.234189467;0.014285714;
Wong et al.;Wong;Eccles;Sameroff;;;;;2003;629;0.15;0.151140436;0.151140436;629;0.151140436;0.151140436;0.001597444;
Worrell;Worrell;;;;;;;2007;227;0.21;0.213171347;0.213171347;227;0.213171347;0.213171347;0.004464286;
Yang;Yang;;;;;;;2006;137;0.12;0.120581028;0.120581028;137;0.120581028;0.120581028;0.007462687;
Yasui et al.;Yasui;Dorham;Dishion;;;;;2004;82;0.49;0.536060337;0.536060337;82;0.534745221;0.534745221;0.012658228;
Ying & Lee;Ying;Lee;;;;;;2006;197;0.22;0.223656109;0.223656109;197;0.223656109;0.223656109;0.005154639;
Yip;Yip;;;;;;;2005;62;0.01;0.010000333;0.010000333;62;0.010000333;0.010000333;0.016949153;
Yip & Cross;Yip;Cross;;;;;;2004;96;0.15;0.151140436;0.151140436;96;0.151140436;0.151140436;0.010752688;
Yip & Fuligni;Yip;Fuligni;;;;;;2002;96;0.15;0.151140436;0.151140436;96;0.151140436;0.151140436;0.010752688;
Yip et al.;Yip;Seaton;Sellers;;;;;2006;940;0.06;0.060072156;0.060072156;940;0.060072156;0.060072156;0.001067236;
Yip et al.;Yip;Gee;Takeuchi;;;;;2008;2047;0.16;0.161386696;0.161386696;2047;0.161386696;0.161386696;0.000489237;
Yoo;Yoo;;;;;;;2006;249;0.16;0.161386696;0.161386696;249;0.161386696;0.161386696;0.004065041;
Yoo & Lee;Yoo;Lee;;;;;;2005;147;0.24;0.244774113;0.244774113;147;0.248314201;0.248314201;0.006944444;
Yoon;Yoon;;;;;;;2001;241;0.15;0.151140436;0.151140436;241;0.155690317;0.155690317;0.004201681;
Yuh;Yuh;;;;;;;2005;209;0.3;0.309519604;0.309519604;209;0.309519604;0.309519604;0.004854369;
Zaff et al.;Zaff;Blount;Philips;Cohen;;;;2002;67;0.08;0.080171325;0.080171325;67;0.080171325;0.080171325;0.015625;
