"study";"a1";"a2";"a3";"a4";"a5";"a6";"a7";"yop";"n";"r";"domain";"criterion";"id";"nnew";"effest.exp";"effestnew.exp";"vr";"vr.o";"vr.c"
"Grant & Bay";"Grant";"Bray";"";"";"";NA;NA;1970;211;0.41;"Employ";"Grades";7;211;0.41;0.41;0.00329551242857143;0.00329551242857143;0.00329551242857143
"Haney et al.";"Haney";"Michael";"Martois";"";"";NA;NA;1976;67;0.21;"Educ";"Grades";7;67;0.21;0.21;0.0138446183333333;0.0138446183333333;0.0138446183333333
"Houston & Novick";"Houston";"Novick";"";"";"";NA;NA;1987;101;0.01;"Military";"Grades";7;101;0.01;0.01;0.0099980001;0.0099980001;0.0099980001
"Houston & Novick";"Houston";"Novick";"";"";"";NA;NA;1987;126;0.17;"Military";"Grades";7;126;0.17;0.17;0.00754428168;0.00754428168;0.00754428168
"Houston & Novick";"Houston";"Novick";"";"";"";NA;NA;1987;146;0.24;"Military";"Grades";7;146;0.24;0.24;0.00612495006896552;0.00612495006896552;0.00612495006896552
"Houston & Novick";"Houston";"Novick";"";"";"";NA;NA;1987;177;0.16;"Military";"Grades";7;177;0.16;0.16;0.00539463272727273;0.00539463272727273;0.00539463272727273
"Houston & Novick";"Houston";"Novick";"";"";"";NA;NA;1987;210;0.35;"Military";"Grades";7;210;0.35;0.35;0.00368424043062201;0.00368424043062201;0.00368424043062201
"Houston & Novick";"Houston";"Novick";"";"";"";NA;NA;1987;278;0.17;"Military";"Grades";7;278;0.17;0.17;0.00340445924187726;0.00340445924187726;0.00340445924187726
"Houston & Novick";"Houston";"Novick";"";"";"";NA;NA;1987;281;0.27;"Military";"Grades";7;281;0.27;0.27;0.00306969432142857;0.00306969432142857;0.00306969432142857
"Houston & Novick";"Houston";"Novick";"";"";"";NA;NA;1987;301;0.22;"Military";"Grades";7;301;0.22;0.22;0.0030184752;0.0030184752;0.0030184752
"Houston & Novick";"Houston";"Novick";"";"";"";NA;NA;1987;361;0.21;"Military";"Grades";7;361;0.21;0.21;0.00253818002777778;0.00253818002777778;0.00253818002777778
"Kallingal";"Kallingal";"";"";"";"";NA;NA;1971;225;0.47;"Educ";"Grades";7;225;0.47;0.47;0.0027098071875;0.0027098071875;0.0027098071875
"Kirkpatrick et al.";"Kirkpatrick";"Ewen";"Barrett";"Katzell";"";NA;NA;1968;22;-0.02;"Employ";"Subjective";7;22;-0.02;-0.02;0.04758096;0.04758096;0.04758096
"Kirkpatrick et al.";"Kirkpatrick";"Ewen";"Barrett";"Katzell";"";NA;NA;1968;25;0.03;"Employ";"Subjective";7;25;0.03;0.03;0.0415917004166667;0.0415917004166667;0.0415917004166667
"Kirkpatrick et al.";"Kirkpatrick";"Ewen";"Barrett";"Katzell";"";NA;NA;1968;26;0.12;"Employ";"Subjective";7;26;0.12;0.12;0.0388562944;0.0388562944;0.0388562944
"Kirkpatrick et al.";"Kirkpatrick";"Ewen";"Barrett";"Katzell";"";NA;NA;1968;33;0.04;"Employ";"Subjective";7;33;0.04;0.04;0.03115008;0.03115008;0.03115008
"Kirkpatrick et al.";"Kirkpatrick";"Ewen";"Barrett";"Katzell";"";NA;NA;1968;39;0.36;"Employ";"Objective";7;39;0.36;0.36;0.0199367410526316;0.0199367410526316;0.0199367410526316
"Kirkpatrick et al.";"Kirkpatrick";"Ewen";"Barrett";"Katzell";"";NA;NA;1968;98;0.3;"Employ";"Subjective";7;98;0.3;0.3;0.00853711340206186;0.00853711340206186;0.00853711340206186
"Lichtman ";"Lichtman";"";"";"";"";NA;NA;2008;337;0.23;"Educ";"Grades";7;337;0.23;0.23;0.002669638125;0.002669638125;0.002669638125
"Lopez";"Lopez";"";"";"";"";NA;NA;1966;56;0.09;"Employ";"Composite";7;56;0.09;0.09;0.0178884656363636;0.0178884656363636;0.0178884656363636
"Mattern et al.";"Mattern";"Patterson";"Shaw";"Kobrin";"Barbuti";NA;NA;2008;10096;0.26;"Educ";"Grades";7;10096;0.26;0.26;8.61188469539376e-05;8.61188469539376e-05;8.61188469539376e-05
"McCornack";"McCornack";"";"";"";"";NA;NA;1983;83;0.29;"Educ";"Grades";7;83;0.29;0.29;0.0102301562195122;0.0102301562195122;0.0102301562195122
"McCornack";"McCornack";"";"";"";"";NA;NA;1983;108;0.39;"Educ";"Grades";7;108;0.39;0.39;0.00671901317757009;0.00671901317757009;0.00671901317757009
"McLaughlin et al.";"McLaughlin";"Rossmeissl";"Wise";"Brandt";"Wang";NA;NA;1984;624;0.11;"Military";"Composite";7;624;0.11;0.11;0.00156652714285714;0.00156652714285714;0.00156652714285714
"McLaughlin et al.";"McLaughlin";"Rossmeissl";"Wise";"Brandt";"Wang";NA;NA;1984;956;0.14;"Military";"Composite";7;956;0.14;0.14;0.00100647556020942;0.00100647556020942;0.00100647556020942
"McLaughlin et al.";"McLaughlin";"Rossmeissl";"Wise";"Brandt";"Wang";NA;NA;1984;1039;0.12;"Military";"Composite";7;1039;0.12;0.12;0.000935845240847784;0.000935845240847784;0.000935845240847784
"McLaughlin et al.";"McLaughlin";"Rossmeissl";"Wise";"Brandt";"Wang";NA;NA;1984;1708;0.11;"Military";"Composite";7;1708;0.11;0.11;0.000571731933216169;0.000571731933216169;0.000571731933216169
"McLaughlin et al.";"McLaughlin";"Rossmeissl";"Wise";"Brandt";"Wang";NA;NA;1984;3111;0.1;"Military";"Composite";7;3111;0.1;0.1;0.000315144694533762;0.000315144694533762;0.000315144694533762
"McLaughlin et al.";"McLaughlin";"Rossmeissl";"Wise";"Brandt";"Wang";NA;NA;1984;3234;0.19;"Military";"Composite";7;3234;0.19;0.19;0.000287381135168574;0.000287381135168574;0.000287381135168574
"McLaughlin et al.";"McLaughlin";"Rossmeissl";"Wise";"Brandt";"Wang";NA;NA;1984;3316;0.14;"Military";"Composite";7;3316;0.14;0.14;0.000289949972850679;0.000289949972850679;0.000289949972850679
"McLaughlin et al.";"McLaughlin";"Rossmeissl";"Wise";"Brandt";"Wang";NA;NA;1984;3570;0.19;"Military";"Composite";7;3570;0.19;0.19;0.00026032592042589;0.00026032592042589;0.00026032592042589
"McLaughlin et al.";"McLaughlin";"Rossmeissl";"Wise";"Brandt";"Wang";NA;NA;1984;6985;0.13;"Military";"Composite";7;6985;0.13;0.13;0.000138385682989691;0.000138385682989691;0.000138385682989691
"Moffat";"Moffatt";"";"";"";"";NA;NA;1993;31;0.16;"Educ";"Grades";7;31;0.16;0.16;0.031648512;0.031648512;0.031648512
"Morgan";"Morgan";"";"";"";"";NA;NA;1990;4086;0.29;"Educ";"Grades";7;4086;0.29;0.29;0.000205354421052632;0.000205354421052632;0.000205354421052632
"Morgan";"Morgan";"";"";"";"";NA;NA;1990;5095;0.3;"Educ";"Grades";7;5095;0.3;0.3;0.000162563800549666;0.000162563800549666;0.000162563800549666
"Morgan";"Morgan";"";"";"";"";NA;NA;1990;5162;0.35;"Educ";"Grades";7;5162;0.35;0.35;0.000149197103274559;0.000149197103274559;0.000149197103274559
"Noble et al.";"Noble";"Crouse";"Shulz";"";"";NA;NA;1996;275;0.27;"Educ";"Grades";7;275;0.27;0.27;0.00313691390510949;0.00313691390510949;0.00313691390510949
"OLeary et al.";"Oleary";"Farr";"Bartlett";"";"";NA;NA;1970;17;0.13;"Employ";"Composite";7;17;0.13;0.106666667;0.060405350625;0.060405350625;0.0610858686331876
"OLeary et al.";"Oleary";"Farr";"Bartlett";"";"";NA;NA;1970;17;0.12;"Employ";"Subjective";7;17;0.12;0.12;0.06071296;0.06071296;0.06071296
