study;a1;a2;a3;a4;a5;yop;n;r;domain;criterion;z;zexp;nnew;znew;znewexp;vz;newvz
OLeary et al.;Oleary;Farr;Bartlett;;;1970;30;0.21;Employ;Subjective;0.213171347;0.213171347;30;0.213171347;0.213171347;0.037037037;
OLeary et al.;Oleary;Farr;Bartlett;;;1970;31;-0.04;Employ;Subjective;-0.040021354;-0.040021354;31;-0.040021354;-0.040021354;0.035714286;
OLeary et al.;Oleary;Farr;Bartlett;;;1970;33;-0.16;Employ;Objective;-0.161386696;-0.161386696;33;-0.161386696;-0.161386696;0.033333333;
OLeary et al.;Oleary;Farr;Bartlett;;;1970;41;-0.01;Employ;Subjective;-0.010000333;-0.010000333;41;-0.010000333;-0.010000333;0.026315789;
OLeary et al.;Oleary;Farr;Bartlett;;;1970;84;0.19;Employ;Subjective;0.192337169;0.192337169;84;0.192337169;0.192337169;0.012345679;
OLeary et al.;Oleary;Farr;Bartlett;;;1970;125;0.14;Employ;Subjective;0.140925576;0.140925576;125;0.140925576;0.140925576;0.008196721;
Pandey;Pandey;;;;;1971;47;0.11;Educ;Grades;0.110446916;0.110446916;47;0.110446916;0.110446916;0.022727273;
Patterson et al.;Patterson et al.;Mattern;Kobrin;;;2009;9998;0.25;Educ;Grades;0.255412812;0.255412812;9998;0.255412812;0.255412812;0.00010005;
Pfeifer & Sedlacek;Pfeifer;Sedlacek;;;;1971;126;0.56;Educ;Grades;0.632833187;0.632833187;126;0.632833187;0.632833187;0.008130081;
Roberts & Skinner;Roberts;Skinner;;;;1996;511;0.38;Military;Grades;0.40005965;0.40005965;511;0.40005965;0.40005965;0.001968504;
Scott;Scott;;;;;1976;67;-0.04;Educ;Grades;-0.040021354;-0.040021354;67;-0.040021354;-0.040021354;0.015625;
Synk & Swarthout;Synk;Swarthout;;;;1987;44;0.11;Employ;Subjective;0.110446916;0.110446916;44;0.110446916;0.110446916;0.024390244;
Synk & Swarthout;Synk;Swarthout;;;;1987;66;0.19;Employ;Subjective;0.192337169;0.192337169;66;0.192337169;0.192337169;0.015873016;
