"study";"a1";"a2";"a3";"a4";"a5";"a6";"a7";"yop";"n";"r";"z";"zexp";"nnew";"znew";"znewexp";"vz";"newvz";"vr"
"Quinones";"Quinones";"";"";"";"";"";"";1996;147;0.16;0.161386696131526;0.161386696131526;147;0.161386696;0.161386696;0.00694444444444444;0.00694444444444444;0.00650311890410959
"Ramirez";"Ramirez";"";"";"";"";"";"";1997;150;0.29;0.298566263660178;0.298566263660178;150;0.298566264;0.298566264;0.00680272108843537;0.00680272108843537;0.0056300188590604
"Reddy";"Reddy";"";"";"";"";"";"";2002;132;0.06;0.0600721559210317;0.0600721559210317;132;0.060072156;0.060072156;0.00775193798449612;0.00775193798449612;0.00757872488549618
"Resnicow";"Resnicow";"";"";"";"";"";"";1999;346;0.1;0.100335347731076;0.100335347731076;346;0.100335348;0.100335348;0.00291545189504373;0.00291545189504373;0.00284086956521739
"Rivas-Drake et al.";"Rivas-Drake";"Hughes";"Way";"";"";"";"";2008;84;0.25;0.255412811882995;0.255412811882995;84;0.354092529;0.354092529;0.0123456790123457;0.0123456790123457;0.0105892319277108
"Roberts";"Roberts";"";"";"";"";"";"";1997;150;0.29;0.298566263660178;0.298566263660178;150;0.298566264;0.298566264;0.00680272108843537;0.00680272108843537;0.0056300188590604
"Roberts et al";"Roberts";"Phinney";"Masse";"Chen";"Roberts";"Romero";"";1999;1992;0.12;0.120581028408444;0.120581028408444;1992;0.117146067;0.117146067;0.000502765208647562;0.000502765208647562;0.000487899226519337
"Romero & Roberts";"Romero & Roberts";"Roberts";"";"";"";"";"";2003;881;0.26;0.266108406873654;0.266108406873654;881;0.266108407;0.266108407;0.00113895216400911;0.00113895216400911;0.000987920181818182
"Rosario";"Rosario";"";"";"";"";"";"";1999;80;0.25;0.255412811882995;0.255412811882995;80;0.255412812;0.255412812;0.012987012987013;0.012987012987013;0.0111253955696203
"Rosen";"Rosen";"";"";"";"";"";"";2004;71;-0.18;-0.181982688600706;-0.181982688600706;71;-0.181982689;-0.181982689;0.0147058823529412;0.0147058823529412;0.0133749965714286
"Ryu";"Ryu";"";"";"";"";"";"";2004;25;0.53;0.590145159841189;0.590145159841189;25;0.59014516;0.59014516;0.0454545454545455;0.0454545454545455;0.02154603375
"Saavedra";"Saavedra";"";"";"";"";"";"";1994;212;0.1;0.100335347731076;0.100335347731076;212;0.100335348;0.100335348;0.00478468899521531;0.00478468899521531;0.00464502369668246
"Santana";"Santana";"";"";"";"";"";"";1994;204;0.29;0.298566263660178;0.298566263660178;204;0.298566264;0.298566264;0.00497512437810945;0.00497512437810945;0.00413237837438424
"Sasson";"Sasson";"";"";"";"";"";"";2001;21;0.12;0.120581028408444;0.120581028408444;21;0.120581028;0.120581028;0.0555555555555556;0.0555555555555556;0.048570368
"Schmidt";"Schmidt";"";"";"";"";"";"";2006;121;0.16;0.161386696131526;0.161386696131526;121;0.161386696;0.161386696;0.00847457627118644;0.00847457627118644;0.007912128
"Schneider";"Schneider";"";"";"";"";"";"";1995;94;0.14;0.140925576070494;0.140925576070494;94;0.140925576;0.140925576;0.010989010989011;0.010989010989011;0.0103353135483871
"Schwartz et al.";"Schwartz";"Zamboanga";"Jarvis";"";"";"";"";2007;347;0.14;0.140925576070494;0.140925576070494;347;0.140925576;0.140925576;0.00290697674418605;0.00290697674418605;0.0027779889017341
"Setty";"Setty";"";"";"";"";"";"";2006;65;-0.08;-0.0801713250375897;-0.0801713250375897;65;-0.080171325;-0.080171325;0.0161290322580645;0.0161290322580645;0.01542564
"Shibazaki";"Shibazaki";"";"";"";"";"";"";1999;136;0.08;0.0801713250375897;0.0801713250375897;136;0.080171325;0.080171325;0.0075187969924812;0.0075187969924812;0.007312896
"Shrake & Rhee";"Shrake";"Rhee";"";"";"";"";"";2004;217;0.18;0.181982688600706;0.181982688600706;217;0.181982689;0.181982689;0.00467289719626168;0.00467289719626168;0.00433448962962963
"Siegel et al.";"Siegel";"Yancey";"McCarthy";"";"";"";"";2000;370;0.12;0.120581028408444;0.120581028408444;370;0.120581028;0.120581028;0.00272479564032698;0.00272479564032698;0.00263254027100271
"Sieger & Renk";"Sieger";"Renk";"";"";"";"";"";2007;134;0.25;0.255412811882995;0.255412811882995;134;0.255412812;0.255412812;0.00763358778625954;0.00763358778625954;0.00660831766917293
"Smith";"Smith";"";"";"";"";"";"";2006;126;0.08;0.0801713250375897;0.0801713250375897;126;0.080171325;0.080171325;0.00813008130081301;0.00813008130081301;0.00789792768
"Smith";"Smith";"";"";"";"";"";"";2003;60;0.21;0.21317134656486;0.21317134656486;60;0.213171347;0.213171347;0.0175438596491228;0.0175438596491228;0.0154872001694915
"Smith & Brookins";"Smith";"Brookins";"";"";"";"";"";1997;159;0.27;0.2768638226551;0.2768638226551;159;0.276863823;0.276863823;0.00641025641025641;0.00641025641025641;0.00543996462025317
"Sobansky";"Sobansky";"";"";"";"";"";"";2003;58;0.25;0.255412811882995;0.255412811882995;58;0.255412812;0.255412812;0.0181818181818182;0.0181818181818182;0.0154194078947368
"Susberry";"Susberry";"";"";"";"";"";"";2004;94;0.19;0.192337169219545;0.192337169219545;94;0.192337169;0.192337169;0.010989010989011;0.010989010989011;0.00999035709677419
